"","Austria","Belgium","Denmark","France","Germany","Greece","Italy","Netherlands","Norway","Portugal","Spain","Sweden","Switzerland","United_Kingdom"
"1",0.0493996310473293,0.0551198334690207,0.0523953999946626,0.0563532054703027,0.0477541658585766,0.0400787626193098,0.0393587094776493,0.0505024907359715,0.056007100253708,0.0397366946756794,0.0431504287517685,0.0595631641968646,0.0522632859979643,0.0585211757023559
"2",0.0469843960136672,0.058008054220856,0.0529430031736723,0.0604721324765172,0.0447844542605683,0.0468774726130572,0.0449503655161509,0.0526128962531176,0.0585822996461774,0.0440442638381711,0.0497434406535402,0.0591552594351022,0.0496959090892687,0.0609382898498609
"3",0.0472535496449964,0.0574817727814555,0.0587077396777667,0.0612453489520041,0.0454862081927005,0.0520418525259917,0.0473916662277957,0.0557450431707094,0.0595737765153121,0.0487585100947466,0.0529112025064724,0.0575745661963255,0.0474766234587211,0.0575373915373144
"4",0.0507027366781796,0.055104492261054,0.059130572512192,0.0594260901499916,0.0497052348452899,0.0502614994980879,0.0474363682870838,0.0597006202928512,0.059999970248256,0.0518859527980714,0.0473005024005408,0.0526715370076653,0.0498099992071901,0.0545737158198877
"5",0.0578338560423427,0.0576159433460457,0.0657681815519421,0.0568031592508636,0.0545075713998937,0.0507022424024853,0.0488207444779411,0.0600392702966975,0.065752284004198,0.0528481676252953,0.0484769308896631,0.0564551950054837,0.0569376046966012,0.0610276332115521
"6",0.0677442937754928,0.0633269463637567,0.0685316713923435,0.0570859373171396,0.0583275650252336,0.0513816454408131,0.0525307841243395,0.0632016026352575,0.0689539435564789,0.0524431532321733,0.0510883033627432,0.0735960646608276,0.0649899222336144,0.0668052693446855
"7",0.0687040889238925,0.0644813505948792,0.0593426820979856,0.0610269070425622,0.0651939295242931,0.0598475382909127,0.055999951366274,0.0624030929526694,0.0691651809389502,0.0562947511073588,0.0581361732669767,0.0671168268936104,0.0697910206653293,0.0693719803013884
"8",0.0680536529285144,0.0654019097463734,0.0554763610451735,0.0619610330227403,0.0637943618102722,0.0723763835530983,0.0613015396076435,0.059032270613469,0.0661541184967336,0.0663186861767345,0.0736637323584951,0.0613738706753549,0.0712089978452102,0.0669472826324666
"9",0.0628968480434541,0.0651366021893897,0.0634503991091397,0.0612812567903135,0.0597368573653875,0.0750529297369858,0.0714359887325701,0.0598157460844507,0.0650490271551605,0.0765722695907252,0.0866902894055175,0.0611214341345428,0.0659148671181919,0.0632570107692966
"10",0.0706258011787812,0.0669669729794524,0.0668810637087777,0.0678592103113796,0.0648174355935736,0.0763097394058633,0.0809601209393895,0.0689963844768548,0.0708420636107163,0.0786567097612674,0.0831458726810225,0.0661641854038262,0.0711197048651635,0.0644879851470808
"11",0.0806903600784186,0.0695360619361835,0.0732306612031119,0.0669348061710861,0.0822050192148792,0.0751288540292926,0.080877076869899,0.0751659101299289,0.0691000989989282,0.0723690593650751,0.0768801624981444,0.0671278890554857,0.0793714472715639,0.0692428530753897
"12",0.0759932383247074,0.0693054237757348,0.0660866925149231,0.0651611616889106,0.0803696876505176,0.0671290121810261,0.0752855529882616,0.0722729066249687,0.0613347078639066,0.0716392314487563,0.0717495106204731,0.06049637215903,0.0731183774615671,0.0661106365567886
"13",0.0624654204592945,0.0625781740720931,0.0585795034902771,0.0606994361578601,0.0678565369499745,0.0635807214183002,0.0637309627211257,0.0645886695278468,0.0569160160332148,0.0649941003457636,0.0607902856558764,0.0557710351741867,0.0600795068419727,0.0562763200589074
"14",0.04926304395558,0.0542313435093213,0.0553053216978055,0.0584616467733966,0.0560668888528168,0.0551493048820657,0.0583675415869568,0.0588136603069612,0.0512670895877078,0.0604225529540915,0.0505103193033407,0.0535827203051961,0.0509690616704819,0.0504628547493928
"15",0.0460926152061304,0.0463684977221773,0.0600582053657487,0.0515970755968426,0.0459114450154908,0.0510232254797723,0.0549252682668704,0.0539374278452904,0.0481799742498656,0.0543542812789261,0.046560718759968,0.0558031254095367,0.0483395172893678,0.0493150473105834
"16",0.0421208680729516,0.0323938706933784,0.0381890832187006,0.0322028958120402,0.0449826354345208,0.038812211720476,0.0431193982422212,0.0353847427321725,0.0312467691465489,0.0432100769850107,0.0373728139720873,0.0406119866994944,0.0368783500147444,0.0347177313350616
"17",0.0276342601971813,0.0278712479153942,0.0243380153405139,0.0278979944627595,0.0384020815298763,0.038091074196943,0.0375644652923366,0.0249151985642035,0.0202646566388413,0.0339988114622301,0.0274475867806489,0.0255944541695132,0.0256360494969499,0.0251652937357788
"18",0.0155360836739448,0.0185410199199085,0.0131948105241013,0.0201689013792603,0.0185856288181583,0.024244393325271,0.0223445869969143,0.0148788385866788,0.0130414910384028,0.0213137724063625,0.0221702023727523,0.0158864603623306,0.0164648338748927,0.0157511369098297
"19",0.00778066190350362,0.00821933385701457,0.00640557085725198,0.0100688465990731,0.00898063235315569,0.0095756290470871,0.0104859368246578,0.00619468017054763,0.00641429006016546,0.00805060244546145,0.00965162324359706,0.00785254038561102,0.00777617288424824,0.00731728353108427
"20",0.0022245938516376,0.00231114864651109,0.00198506152391033,0.00329295457495655,0.00253166030482104,0.00233550763316094,0.00311297145391911,0.001798547999353,0.00215514195672758,0.00208835240809958,0.00255990051637181,0.00248131267001222,0.00215874801695659,0.00217310842129465
